symbol,turnover24h,exchange,category,logo,devAct,devActUlr
1000SATSUSDT,38491741.31499290,bi,IV,1000sats.png,undefined,undefined
BEAMXUSDT,11898162.33864000,bi,IV,beamx.svg,low,undefined
ARPAUSDT,8461618.11923500,bi,V,arpa.svg,medium,undefined
METISUSDT,7058123.67550000,bi,V,metis.svg,high,https://www.tradingview.com/x/ph6PQhri/
RONINUSDT,6939221.66575000,bi,V,ronin.svg,medium,undefined
RDNTUSDT,6673025.17370000,bi,V,rdnt.png,low,https://www.tradingview.com/x/7Rt0Hn8Q/
DENTUSDT,6532948.00684300,bi,V,dent.svg,undefined,undefined
HOOKUSDT,5977148.69372000,bi,V,hook.png,undefined,undefined
AMBUSDT,5965031.41950000,bi,V,amb.svg,high,https://www.tradingview.com/x/wkDOpw9x/
ACHUSDT,5827021.50720000,bi,V,ach.png,undefined,undefined
DARUSDT,5519102.42677000,bi,V,dar.png,undefined,undefined
ASTRUSDT,5159123.10206000,bi,V,astr.png,high,https://www.tradingview.com/x/TeYEw2B5/
IOTAUSDT,5105803.33160000,bi,V,iota.svg,undefined,undefined
QNTUSDT,4903405.87200000,bi,V,qnt.svg,low,https://www.tradingview.com/x/itsp7rPC/
TLMUSDT,4828214.51183000,bi,V,tlm.png,medium,https://www.tradingview.com/x/jQuS4msh/
USTCUSDT,4804364.27894866,bi,V,ustc.png,undefined,undefined
ILVUSDT,4706415.16413000,bi,V,ilv.png,low,https://www.tradingview.com/x/1GK5Rwqf/
PERPUSDT,4704798.63909640,bi,V,perp.svg,undefined,undefined
SXPUSDT,4625081.61931000,bi,V,sxp.svg,low,https://www.tradingview.com/x/aJnNDU8M/
RADUSDT,4597181.04640000,bi,V,rad.png,undefined,undefined
POWRUSDT,4588111.85550000,bi,V,powr.svg,undefined,undefined
ENJUSDT,4328575.52791000,bi,V,enj.svg,high,https://www.tradingview.com/x/1bIwzGXY/
PHBUSDT,4004090.19150000,bi,V,phb.png,undefined,undefined
