symbol,turnover24h,exchange,category,logo,devAct,devActUrl,minQty,minNotional,tickSize
1000SATSUSDT,38491741.31499290,bi,IV,1000sats.png,undefined,undefined,1,0,0.000001
BEAMXUSDT,11898162.33864000,bi,IV,beamx.svg,low,undefined,1,0,0.0000010
ARPAUSDT,8461618.11923500,bi,V,arpa.svg,medium,undefined,1,0,0.00001
METISUSDT,7058123.67550000,bi,V,metis.svg,high,https://www.tradingview.com/x/ph6PQhri/,0.01,0,0.0100
RONINUSDT,6939221.66575000,bi,V,ronin.svg,medium,undefined,0.1,0,0.00100
RDNTUSDT,6673025.17370000,bi,V,rdnt.png,low,https://www.tradingview.com/x/7Rt0Hn8Q/,1,0,0.00100
DENTUSDT,6532948.00684300,bi,V,dent.svg,undefined,undefined,1,0,0.000001
HOOKUSDT,5977148.69372000,bi,V,hook.png,undefined,undefined,0.1,0,0.0100
ACHUSDT,5827021.50720000,bi,V,ach.png,undefined,undefined,1,0,0.0000010
DARUSDT,5519102.42677000,bi,V,dar.png,undefined,undefined,0.1,0,0.0001
ASTRUSDT,5159123.10206000,bi,V,astr.png,high,https://www.tradingview.com/x/TeYEw2B5/,1,0,0.0000100
IOTAUSDT,5105803.33160000,bi,V,iota.svg,undefined,undefined,0.1,0,0.0001
QNTUSDT,4903405.87200000,bi,V,qnt.svg,low,https://www.tradingview.com/x/itsp7rPC/,0.1,0,0.010000
TLMUSDT,4828214.51183000,by,V,tlm.png,medium,https://www.tradingview.com/x/jQuS4msh/,1,5,0.000001
USTCUSDT,4804364.27894866,bi,V,ustc.png,undefined,undefined,1,0,0.0000100
ILVUSDT,4706415.16413000,bi,V,ilv.png,low,https://www.tradingview.com/x/1GK5Rwqf/,0.1,0,0.01000
PERPUSDT,4704798.63909640,bi,V,perp.svg,undefined,undefined,0.1,0,0.000100
SXPUSDT,4625081.61931000,bi,V,sxp.svg,low,https://www.tradingview.com/x/aJnNDU8M/,0.1,0,0.0001
POWRUSDT,4588111.85550000,bi,V,powr.svg,undefined,undefined,1,0,0.0001000
ENJUSDT,4328575.52791000,bi,V,enj.svg,high,https://www.tradingview.com/x/1bIwzGXY/,1,0,0.00010
PHBUSDT,4004090.19150000,bi,V,phb.png,undefined,undefined,1,0,0.0001000
BANDUSDT,3926242.69940000,bi,V,band.svg,high,https://www.tradingview.com/x/uDR3hfSC/,0.1,0,0.0001
LRCUSDT,3851483.35950000,bi,V,lrc.svg,high,https://www.tradingview.com/x/UzLLhswj/,1,0,0.00010
FXSUSDT,3816036.93260000,bi,V,fxs.png,high,https://www.tradingview.com/x/LzS1g0z5/,0.1,0,0.000100
EDUUSDT,3592719.49302000,bi,V,edu.png,undefined,undefined,1,0,0.0001000
YFIUSDT,3447004.47569000,bi,V,yfi.svg,high,https://www.tradingview.com/x/XEr8AgnW/,0.001,0,1
DASHUSDT,3334877.82945000,bi,V,dash.svg,high,https://www.tradingview.com/x/roY2Y6yC/,0.001,0,0.01
ICXUSDT,3318021.04037000,by,V,icx.svg,high,https://www.tradingview.com/x/x1Qnz1gd/,1,5,0.0001
CTSIUSDT,3266295.85110000,bi,V,ctsi.png,high,https://www.tradingview.com/x/KhgsJcTM/,1,0,0.0001
IOSTUSDT,3253997.72704000,bi,V,iost.svg,low,https://www.tradingview.com/x/WtzaIXjA/,1,0,0.000001
ZECUSDT,3176275.95655000,bi,V,zec.svg,high,https://www.tradingview.com/x/SnoxHv3k/,0.001,0,0.01
COMBOUSDT,3142752.34253000,bi,V,combo.png,undefined,undefined,0.1,0,0.000100
KLAYUSDT,3122175.38986000,bi,V,klay.svg,medium,https://www.tradingview.com/x/rineyEfT/,0.1,0,0.0001
XTZUSDT,3033683.59790000,bi,V,xtz.svg,high,https://www.tradingview.com/x/YRgOvKuu/,0.1,0,0.001
RLCUSDT,3024542.68160000,bi,V,rlc.svg,high,https://www.tradingview.com/x/Zw7f97rN/,0.1,0,0.0001
HFTUSDT,2964531.99954000,bi,V,hft.png,undefined,undefined,1,0,0.0001000
LOOMUSDT,2881496.84681000,bi,V,loom.svg,low,https://www.tradingview.com/x/K9ZXrZlW/,1,0,0.0000100
LITUSDT,2723414.37850000,bi,V,lit.svg,low,https://www.tradingview.com/x/AOQwNNIr/,0.1,0,0.001
ARKUSDT,2687541.35860000,bi,V,ark.svg,high,https://www.tradingview.com/x/cUEN8x3M/,1,0,0.0001000
SPELLUSDT,2638643.81756280,bi,V,spell.png,high,https://www.tradingview.com/x/4dHnU2OC/,1,0,0.0000001
WAXPUSDT,2536727.29562000,bi,V,waxp.png,medium,https://www.tradingview.com/x/wKxSlKqk/,1,0,0.0000100
KNCUSDT,2492871.37750000,bi,V,knc.svg,high,https://www.tradingview.com/x/zvScbVBT/,1,0,0.00010
NMRUSDT,2300612.76220000,bi,V,nmr.svg,medium,https://www.tradingview.com/x/NuuAcF53/,0.1,0,0.001000
ONGUSDT,2288031.13000000,bi,V,ong.png,low,https://www.tradingview.com/x/KlKHViaT/,1,0,0.000100
OXTUSDT,2265739.07780000,bi,V,oxt.svg,medium,https://www.tradingview.com/x/YqKEi4rT/,1,0,0.0000100
STEEMUSDT,2221780.73604000,bi,V,steem.svg,low,https://www.tradingview.com/x/b1fEtV5p/,1,0,0.00010
1000PEPEUSDT,358746946.4231,by,I,1000pepe.svg,high,https://www.tradingview.com/x/vIkkA6OK/,100,5,0.0000001
SHIB1000USDT,95137186.3109,by,III,shib1000.svg,undefined,undefined,10,5,0.000001
COREUSDT,73774269.0992,by,III,core.png,undefined,undefined,0.1,5,0.0001
POPCATUSDT,71786625.4407,by,III,popcat.png,undefined,undefined,1,5,0.0001
TONUSDT,64971324.4657,by,III,ton.png,high,https://www.tradingview.com/x/wYizhQEn/,0.1,5,0.0001
ONDOUSDT,61102046.7740,by,III,ondo.png,undefined,undefined,1,5,0.0001
DEGENUSDT,52592717.9048,by,III,degen.png,undefined,undefined,10,5,0.00001
MNTUSDT,44410730.1964,by,IV,mnt.png,undefined,undefined,1,5,0.00010
1000RATSUSDT,39707757.8035,by,IV,1000rats.png,undefined,undefined,10,5,0.00001
SLERFUSDT,37379848.3081,by,IV,slerf.png,undefined,undefined,1,5,0.0001
